property_id,property_name,address,city,room_id,room_name,min_price,rack_rate,max_people,room_size_m2,image_url,description,use_on_website
123606,Kungu iela 25,"Kungu iela 25, Centra rajons, Rīga, LV-1050",Riga,416367,Studio Apartment 9/1,20,45,4,36,https://media.xmlcal.com/pic/p0012/3606/1.png,,YES
123606,Kungu iela 25,"Kungu iela 25, Centra rajons, Rīga, LV-1050",Riga,416368,Studio Apartment 9/2,20,45,4,35,https://media.xmlcal.com/pic/p0012/3606/1.png,,YES
135202,Brīvības iela 60,Brīvības iela 60,Rīga,301735,Brīvības iela 60,20,59,6,55,https://media.xmlcal.com/pic/p0013/5202/1.png,,YES
191500,Merķeļa iela 7 - 11,Merķeļa iela 7,Rīga,415949,M7 Design Studio In City Center,20,40,2,,https://media.xmlcal.com/pic/p0019/1500/1.png; https://media.xmlcal.com/pic/p0019/1500/2.png; https://media.xmlcal.com/pic/p0019/1500/3.png; https://media.xmlcal.com/pic/p0019/1500/4.png; https://media.xmlcal.com/pic/p0019/1500/5.png; https://media.xmlcal.com/pic/p0019/1500/6.png; https://media.xmlcal.com/pic/p0019/1500/7.png; https://media.xmlcal.com/pic/p0019/1500/8.png; https://media.xmlcal.com/pic/p0019/1500/9.png; https://media.xmlcal.com/pic/p0019/1500/10.png; https://media.xmlcal.com/pic/p0019/1500/11.png; https://media.xmlcal.com/pic/p0019/1500/12.png; https://media.xmlcal.com/pic/p0019/1500/13.png; https://media.xmlcal.com/pic/p0019/1500/14.png; https://media.xmlcal.com/pic/p0019/1500/15.png; https://media.xmlcal.com/pic/p0019/1500/16.png; https://media.xmlcal.com/pic/p0019/1500/17.png; https://media.xmlcal.com/pic/p0019/1500/18.png; https://media.xmlcal.com/pic/p0019/1500/19.png; https://media.xmlcal.com/pic/p0019/1500/20.png,,YES
191510,Republikas laukums 3 - 221,Republikas laukums 3,Rīga,416247,Riga Riverside Spacious One Bedroom Apartment,20,60,4,65,,,YES
191766,Republikas laukums 3 - 303,Republikas laukums 3,Rīga,415886,Riverside Design Apartment With Underground Private Parking,20,40,4,65,,,YES
191770,Smilšu iela 14 - 13,Smilšu iela 14,Rīga,416237,Old Riga Smilsu street Quiet One Bedroom Apartment,20,50,4,40,,,YES
191847,Valdemāra iela 57/59-33D,Krišjāņa Valdemāra iela 57/59,Rīga,416249,Valdemara Design Studio Apartment in City Center,20,45,2,25,,,YES
191857,A. Kalniņa iela 1 - 2A,Alfrēda Kalniņa iela 1,Rīga,416553,Valentina Design Studio Apartment,20,42,2,,,,YES
191861,A. Kalniņa iela 1 - 6A,Alfrēda Kalniņa iela 1,Rīga,416427,Kalnina Street Modern Studio Apartment in Riga,20,40,2,28,,,YES
193325,Vecpilsētas iela 3k1 - 6,Vecpilsētas iela 3,Rīga,416225,Spacious 2 bedroom Apartment on Vecpilsetas street,20,45,7,128,,,YES
193334,Lastādijas iela 48A - 5,Lastādijas iela 48a,Rīga,416243,One Bedroom Promenade Apartment,20,50,4,45,,,YES
193423,Kalēju iela 57 - 5,"Kalēju iela 57, Centra rajons, Rīga, LV-1050",Rīga,416465,Kaleju iela 57-5,20,50,4,40,https://media.xmlcal.com/pic/p0019/3423/1.png; https://media.xmlcal.com/pic/p0019/3423/2.png; https://media.xmlcal.com/pic/p0019/3423/3.png; https://media.xmlcal.com/pic/p0019/3423/4.png; https://media.xmlcal.com/pic/p0019/3423/5.png; https://media.xmlcal.com/pic/p0019/3423/6.png; https://media.xmlcal.com/pic/p0019/3423/7.png; https://media.xmlcal.com/pic/p0019/3423/8.png; https://media.xmlcal.com/pic/p0019/3423/9.png; https://media.xmlcal.com/pic/p0019/3423/10.png; https://media.xmlcal.com/pic/p0019/3423/11.png; https://media.xmlcal.com/pic/p0019/3423/12.png; https://media.xmlcal.com/pic/p0019/3423/13.png; https://media.xmlcal.com/pic/p0019/3423/14.png; https://media.xmlcal.com/pic/p0019/3423/15.png; https://media.xmlcal.com/pic/p0019/3423/16.png; https://media.xmlcal.com/pic/p0019/3423/17.png; https://media.xmlcal.com/pic/p0019/3423/18.png; https://media.xmlcal.com/pic/p0019/3423/19.png; https://media.xmlcal.com/pic/p0019/3423/20.png,,YES
195518,Marijas iela 14A-8,Marijas iela 14A,Rīga,420486,Maria Studio in Riga centre,20,50,2,22,https://media.xmlcal.com/pic/p0019/5518/1.png; https://media.xmlcal.com/pic/p0019/5518/2.png; https://media.xmlcal.com/pic/p0019/5518/3.png; https://media.xmlcal.com/pic/p0019/5518/4.png; https://media.xmlcal.com/pic/p0019/5518/5.png; https://media.xmlcal.com/pic/p0019/5518/6.png; https://media.xmlcal.com/pic/p0019/5518/7.png; https://media.xmlcal.com/pic/p0019/5518/8.png; https://media.xmlcal.com/pic/p0019/5518/9.png; https://media.xmlcal.com/pic/p0019/5518/10.png; https://media.xmlcal.com/pic/p0019/5518/11.png; https://media.xmlcal.com/pic/p0019/5518/12.png; https://media.xmlcal.com/pic/p0019/5518/13.png; https://media.xmlcal.com/pic/p0019/5518/14.png; https://media.xmlcal.com/pic/p0019/5518/15.png; https://media.xmlcal.com/pic/p0019/5518/16.png; https://media.xmlcal.com/pic/p0019/5518/17.png; https://media.xmlcal.com/pic/p0019/5518/18.png; https://media.xmlcal.com/pic/p0019/5518/19.png; https://media.xmlcal.com/pic/p0019/5518/20.png,,YES
201485,A. Kalniņa iela 1 - 28,Alfrēda Kalniņa iela 1,Rīga,430912,Design Kalnina studio I Fast Wi-fi I Near Park,20,65,2,18,,,YES
204017,Republikas laukums 3-435,Republikas laukums 3,Rīga,435507,Central House Riverside Studio Apartment,20,75,3,65,https://media.xmlcal.com/pic/p0020/4017/1.png; https://media.xmlcal.com/pic/p0020/4017/2.png; https://media.xmlcal.com/pic/p0020/4017/3.png; https://media.xmlcal.com/pic/p0020/4017/4.png; https://media.xmlcal.com/pic/p0020/4017/5.png; https://media.xmlcal.com/pic/p0020/4017/6.png; https://media.xmlcal.com/pic/p0020/4017/7.png; https://media.xmlcal.com/pic/p0020/4017/8.png; https://media.xmlcal.com/pic/p0020/4017/9.png; https://media.xmlcal.com/pic/p0020/4017/10.png; https://media.xmlcal.com/pic/p0020/4017/11.png; https://media.xmlcal.com/pic/p0020/4017/12.png; https://media.xmlcal.com/pic/p0020/4017/13.png; https://media.xmlcal.com/pic/p0020/4017/14.png; https://media.xmlcal.com/pic/p0020/4017/15.png; https://media.xmlcal.com/pic/p0020/4017/16.png; https://media.xmlcal.com/pic/p0020/4017/17.png; https://media.xmlcal.com/pic/p0020/4017/18.png; https://media.xmlcal.com/pic/p0020/4017/19.png,,YES
207212,Kaleju iela 57-7,Kalēju iela 57,Rīga,442020,Old Riga Kaleju Cozy apartment,20,60,4,38,,,YES
214753,A. Kalnina iela 1-57,Alfrēda Kalniņa iela 1,Rīga,456800,Kalnina Design Studio in Centre,25,30,2,19,,,YES
217748,Raiņa Bulvāris 27 - 27,Raiņa bulvāris 27,Rīga,462948,Raina Boulevard Exclusive Design Apartment At Park,25,40,4,45,,,YES
218050,Raiņa Bulvāris 27 - 11,Raiņa bulvāris 27,Rīga,463425,Raina Boulevard Exclusive Studio Design Studio,20,45,2,23,https://media.xmlcal.com/pic/p0021/8050/1.png; https://media.xmlcal.com/pic/p0021/8050/2.png; https://media.xmlcal.com/pic/p0021/8050/3.png,,YES
233541,Tallinas iela 1-14,"Tallinas iela 1, Centra rajons, Rīga, LV-1001",Rīga,494331,One bedroom Sunny Tallinn Street Apartment With Parking,20,60,4,58,https://media.xmlcal.com/pic/p0023/3541/1.png; https://media.xmlcal.com/pic/p0023/3541/2.png; https://media.xmlcal.com/pic/p0023/3541/3.png; https://media.xmlcal.com/pic/p0023/3541/4.png; https://media.xmlcal.com/pic/p0023/3541/5.png; https://media.xmlcal.com/pic/p0023/3541/6.png; https://media.xmlcal.com/pic/p0023/3541/7.png; https://media.xmlcal.com/pic/p0023/3541/8.png; https://media.xmlcal.com/pic/p0023/3541/9.png; https://media.xmlcal.com/pic/p0023/3541/10.png,,YES
234522,A. Kalniņa iela 1-8A,Alfrēda Kalniņa iela 1,Rīga,496217,Park Studio DeLuxe Apartment,20,70,2,27,,,YES
237404,A. Kalnina iela 1-66,Alfrēda Kalniņa iela 1,Rīga,501538,Kalnina Park Residence Studio,20,65,2,20,,,YES
248545,Marijas iela 4-24,Marijas iela 4,Rīga,523361,City Retreat Design Apartment,30,80,4,38,,,YES
262756,Raiņa Bulvāris 27-29,Raiņa bulvāris 27,Rīga,551185,Designer Parkside Apartment I Fast wi-fi,30,80,4,51,https://media.xmlcal.com/pic/p0026/2756/1.png; https://media.xmlcal.com/pic/p0026/2756/2.png; https://media.xmlcal.com/pic/p0026/2756/3.png; https://media.xmlcal.com/pic/p0026/2756/4.png; https://media.xmlcal.com/pic/p0026/2756/5.png; https://media.xmlcal.com/pic/p0026/2756/6.png; https://media.xmlcal.com/pic/p0026/2756/7.png,,YES
274853,Matīsa iela 65A - 29,Matīsa iela 65A,Riga,574677,Park Residence I Quiet Center I Fast Wi-fi I Queen Bed,25,55,4,54,,,YES
282803,Kr. Barona iela 24/26 - 48,"Kr. Barona iela 24/26, Rīga",Riga,590693,Studio Apartment With Balcony I Guest Favourite I,30,80,2,24,,,YES
286114,Kr. Barona iela 69 - 33,Krišjāņa Barona iela 69,Riga,596703,Luxury Design Loft Escape In Riga,40,200,4,42,,,YES
286878,Kr. Barona iela 24/26 - 25,Krišjāņa Barona iela 24/26,Rīga,599984,Perfect Location! Modern Lux Studio Near Park,35,85,2,22,,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600231,316 Shower,25,80,3,29,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600242,315 Bath,25,120,3,25,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600257,211 Kitchen,25,120,2,22,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600273,314 - Bath,25,150,3,25,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600286,313 - Shower,25,175,3,30,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600313,210,25,100,2,15,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600374,212,25,80,2,15,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600377,209,25,70,2,15,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
286997,RixStay Apartments,Spāres iela 3,Rīga,600412,208 L,25,80,2,17,https://media.xmlcal.com/pic/p0028/6997/1.png; https://media.xmlcal.com/pic/p0028/6997/2.png; https://media.xmlcal.com/pic/p0028/6997/3.png; https://media.xmlcal.com/pic/p0028/6997/4.png; https://media.xmlcal.com/pic/p0028/6997/5.png; https://media.xmlcal.com/pic/p0028/6997/6.png; https://media.xmlcal.com/pic/p0028/6997/7.png; https://media.xmlcal.com/pic/p0028/6997/8.png; https://media.xmlcal.com/pic/p0028/6997/9.png; https://media.xmlcal.com/pic/p0028/6997/10.png; https://media.xmlcal.com/pic/p0028/6997/11.png; https://media.xmlcal.com/pic/p0028/6997/12.png; https://media.xmlcal.com/pic/p0028/6997/13.png; https://media.xmlcal.com/pic/p0028/6997/14.png; https://media.xmlcal.com/pic/p0028/6997/15.png,,YES
